pais_bloco,fk_pais,fk_calendario,populacao,id_energia
AUS,2,1,12937000.0,1
AUT,3,1,7500482.0,2
BEL,4,1,9673162.0,3
BRA,5,1,98766288.0,4
CAN,6,1,21962032.0,5
CHE,42,1,6213399.0,6
CHL,7,1,9984378.0,7
CHN,8,1,841105000.0,8
COL,9,1,21405413.0,9
DEU,15,1,78312842.0,10
DNK,11,1,4963126.0,11
ESP,40,1,34224490.0,12
EST,12,1,1376955.0,13
FIN,13,1,4612124.0,14
FRA,14,1,52185222.0,15
GBR,45,1,55896223.0,16
GRC,16,1,8831036.0,17
HUN,17,1,10367537.0,18
IDN,20,1,118347135.0,19
IND,19,1,569999178.0,20
IRL,21,1,2992050.0,21
ISL,18,1,206098.0,22
ISR,22,1,3069000.0,23
ITA,23,1,54073490.0,24
JPN,24,1,105697000.0,25
LTU,27,1,3179041.0,26
LUX,28,1,342421.0,27
LVA,26,1,2376389.0,28
MAR,30,1,15677300.0,29
MEX,29,1,51897675.0,30
NLD,31,1,13194497.0,31
NOR,33,1,3903039.0,32
NZL,32,1,2853000.0,33
POL,34,1,32783500.0,34
PRT,35,1,8643756.0,35
SGP,36,1,2112900.0,36
SVK,37,1,4557449.0,37
SVN,38,1,1738335.0,38
SWE,41,1,8098334.0,39
THA,43,1,36807997.0,40
USA,46,1,207661000.0,41
ZAF,39,1,23031441.0,42
AUS,2,2,13177000.0,43
AUT,3,2,7544201.0,44
BEL,4,2,9711115.0,45
BRA,5,2,101194394.0,46
CAN,6,2,22218463.0,47
CHE,42,2,6260956.0,48
CHL,7,2,10145765.0,49
CHN,8,2,862030000.0,50
COL,9,2,21898055.0,51
DEU,15,2,78688452.0,52
DNK,11,2,4991596.0,53
ESP,40,2,34604469.0,54
EST,12,2,1392518.0,55
FIN,13,2,4639657.0,56
FRA,14,2,52637888.0,57
GBR,45,2,56086065.0,58
GRC,16,2,8888628.0,59
HUN,17,2,10398489.0,60
IDN,20,2,121504145.0,61
IND,19,2,582837973.0,62
IRL,21,2,3036850.0,63
ISL,18,2,209137.0,64
ISR,22,2,3148000.0,65
ITA,23,2,54381345.0,66
JPN,24,2,107188000.0,67
LTU,27,2,3213622.0,68
LUX,28,2,346600.0,69
LVA,26,2,2395674.0,70
MAR,30,2,16081438.0,71
MEX,29,2,53543436.0,72
NLD,31,2,13328593.0,73
NOR,33,2,3933004.0,74
NZL,32,2,2903900.0,75
POL,34,2,33055650.0,76
PRT,35,2,8630430.0,77
SGP,36,2,2152400.0,78
SVK,37,2,4596622.0,79
SVN,38,2,1752233.0,80
SWE,41,2,8122300.0,81
THA,43,2,37834384.0,82
USA,46,2,209896000.0,83
ZAF,39,2,23698507.0,84
AUS,2,3,13380000.0,85
AUT,3,3,7586115.0,86
BEL,4,3,9741720.0,87
BRA,5,3,103666904.0,88
CAN,6,3,22491777.0,89
CHE,42,3,6307347.0,90
CHL,7,3,10307842.0,91
CHN,8,3,881940000.0,92
COL,9,3,22396318.0,93
DEU,15,3,78936666.0,94
DNK,11,3,5021861.0,95
ESP,40,3,34988947.0,96
EST,12,3,1405951.0,97
FIN,13,3,4666081.0,98
FRA,14,3,53053660.0,99
GBR,45,3,56194527.0,100
GRC,16,3,8929086.0,101
HUN,17,3,10432055.0,102
IDN,20,3,124709058.0,103
IND,19,3,596107483.0,104
IRL,21,3,3085950.0,105
ISL,18,3,212317.0,106
ISR,22,3,3278000.0,107
ITA,23,3,54751406.0,108
JPN,24,3,108707000.0,109
LTU,27,3,3244438.0,110
LUX,28,3,350450.0,111
LVA,26,3,2415819.0,112
MAR,30,3,16489452.0,113
MEX,29,3,55228203.0,114
NLD,31,3,13439322.0,115
NOR,33,3,3960612.0,116
NZL,32,3,2961300.0,117
POL,34,3,33357200.0,118
PRT,35,3,8633100.0,119
SGP,36,3,2193000.0,120
SVK,37,3,4641445.0,121
SVN,38,3,1766697.0,122
SWE,41,3,8136312.0,123
THA,43,3,38873060.0,124
USA,46,3,211909000.0,125
ZAF,39,3,24382513.0,126
AUS,2,4,13723000.0,127
AUT,3,4,7599038.0,128
BEL,4,4,9772419.0,129
BRA,5,4,106167372.0,130
CAN,6,4,22807969.0,131
CHE,42,4,6341405.0,132
CHL,7,4,10472743.0,133
CHN,8,4,900350000.0,134
COL,9,4,22897871.0,135
DEU,15,4,78967433.0,136
DNK,11,4,5045297.0,137
ESP,40,4,35373335.0,138
EST,12,4,1418169.0,139
FIN,13,4,4690574.0,140
FRA,14,4,53415250.0,141
GBR,45,4,56229974.0,142
GRC,16,4,8962022.0,143
HUN,17,4,10478720.0,144
IDN,20,4,127945196.0,145
IND,19,4,609721951.0,146
IRL,21,4,3137500.0,147
ISL,18,4,215209.0,148
ISR,22,4,3377000.0,149
ITA,23,4,55110868.0,150
JPN,24,4,110162000.0,151
LTU,27,4,3273894.0,152
LUX,28,4,355050.0,153
LVA,26,4,2437186.0,154
MAR,30,4,16902383.0,155
MEX,29,4,56945880.0,156
NLD,31,4,13545056.0,157
NOR,33,4,3985258.0,158
NZL,32,4,3023700.0,159
POL,34,4,33678899.0,160
PRT,35,4,8754365.0,161
SGP,36,4,2229800.0,162
SVK,37,4,4689623.0,163
SVN,38,4,1776132.0,164
SWE,41,4,8159955.0,165
THA,43,4,39900961.0,166
USA,46,4,213854000.0,167
ZAF,39,4,25077016.0,168
AUS,2,5,13893000.0,169
AUT,3,5,7578903.0,170
BEL,4,5,9800700.0,171
BRA,5,5,108700515.0,172
CAN,6,5,23143275.0,173
CHE,42,5,6338632.0,174
CHL,7,5,10639531.0,175
CHN,8,5,916395000.0,176
COL,9,5,23403731.0,177
DEU,15,5,78673554.0,178
DNK,11,5,5059862.0,179
ESP,40,5,35757900.0,180
EST,12,5,1429352.0,181
FIN,13,5,4711440.0,182
FRA,14,5,53715733.0,183
GBR,45,5,56225800.0,184
GRC,16,5,9046541.0,185
HUN,17,5,10540525.0,186
IDN,20,5,131213215.0,187
IND,19,5,623524219.0,188
IRL,21,5,3189550.0,189
ISL,18,5,217979.0,190
ISR,22,5,3455000.0,191
ITA,23,5,55441001.0,192
JPN,24,5,111573000.0,193
LTU,27,5,3301652.0,194
LUX,28,5,358950.0,195
LVA,26,5,2456130.0,196
MAR,30,5,17325325.0,197
MEX,29,5,58691882.0,198
NLD,31,5,13666335.0,199
NOR,33,5,4007313.0,200
NZL,32,5,3083100.0,201
POL,34,5,34015199.0,202
PRT,35,5,9093470.0,203
SGP,36,5,2262600.0,204
SVK,37,5,4739105.0,205
SVN,38,5,1793581.0,206
SWE,41,5,8192437.0,207
THA,43,5,40908471.0,208
USA,46,5,215973000.0,209
ZAF,39,5,25777964.0,210
AUS,2,6,14033000.0,211
AUT,3,6,7565525.0,212
BEL,4,6,9818227.0,213
BRA,5,6,111286504.0,214
CAN,6,6,23449808.0,215
CHE,42,6,6302504.0,216
CHL,7,6,10804869.0,217
CHN,8,6,930685000.0,218
COL,9,6,23913002.0,219
DEU,15,6,78336950.0,220
DNK,11,6,5072596.0,221
ESP,40,6,36137812.0,222
EST,12,6,1439576.0,223
FIN,13,6,4725664.0,224
FRA,14,6,53966558.0,225
GBR,45,6,56211968.0,226
GRC,16,6,9188150.0,227
HUN,17,6,10598677.0,228
IDN,20,6,134521025.0,229
IND,19,6,637451448.0,230
IRL,21,6,3238050.0,231
ISL,18,6,220154.0,232
ISR,22,6,3533000.0,233
ITA,23,6,55718260.0,234
JPN,24,6,112775000.0,235
LTU,27,6,3328664.0,236
LUX,28,6,360731.0,237
LVA,26,6,2470989.0,238
MAR,30,6,17756516.0,239
MEX,29,6,60452543.0,240
NLD,31,6,13774037.0,241
NOR,33,6,4026152.0,242
NZL,32,6,3110500.0,243
POL,34,6,34356300.0,244
PRT,35,6,9355810.0,245
SGP,36,6,2293300.0,246
SVK,37,6,4789507.0,247
SVN,38,6,1820249.0,248
SWE,41,6,8222286.0,249
THA,43,6,41882128.0,250
USA,46,6,218035000.0,251
ZAF,39,6,26480300.0,252
AUS,2,7,14192000.0,253
AUT,3,7,7568430.0,254
BEL,4,7,9830358.0,255
BRA,5,7,113939886.0,256
CAN,6,7,23725843.0,257
CHE,42,7,6281174.0,258
CHL,7,7,10969861.0,259
CHN,8,7,943455000.0,260
COL,9,7,24443926.0,261
DEU,15,7,78159814.0,262
DNK,11,7,5088419.0,263
ESP,40,7,36511638.0,264
EST,12,7,1450211.0,265
FIN,13,7,4738902.0,266
FRA,14,7,54221988.0,267
GBR,45,7,56193492.0,268
GRC,16,7,9308479.0,269
HUN,17,7,10648031.0,270
IDN,20,7,137861540.0,271
IND,19,7,651685628.0,272
IRL,21,7,3282200.0,273
ISL,18,7,221799.0,274
ISR,22,7,3613000.0,275
ITA,23,7,55955411.0,276
JPN,24,7,113872000.0,277
LTU,27,7,3355036.0,278
LUX,28,7,361358.0,279
LVA,26,7,2485073.0,280
MAR,30,7,18206472.0,281
MEX,29,7,62262505.0,282
NLD,31,7,13856185.0,283
NOR,33,7,4043205.0,284
NZL,32,7,3120200.0,285
POL,34,7,34689050.0,286
PRT,35,7,9455675.0,287
SGP,36,7,2325300.0,288
SVK,37,7,4840501.0,289
SVN,38,7,1842377.0,290
SWE,41,7,8251540.0,291
THA,43,7,42843802.0,292
USA,46,7,220239000.0,293
ZAF,39,7,27199838.0,294
AUS,2,8,14358000.0,295
AUT,3,8,7562305.0,296
BEL,4,8,9839534.0,297
BRA,5,8,116664382.0,298
CAN,6,8,23963203.0,299
CHE,42,8,6281738.0,300
CHL,7,8,11137748.0,301
CHN,8,8,956165000.0,302
COL,9,8,25003608.0,303
DEU,15,8,78091820.0,304
DNK,11,8,5104248.0,305
ESP,40,8,36864898.0,306
EST,12,8,1460188.0,307
FIN,13,8,4752528.0,308
FRA,14,8,54486195.0,309
GBR,45,8,56196504.0,310
GRC,16,8,9429959.0,311
HUN,17,8,10684822.0,312
IDN,20,8,141250964.0,313
IND,19,8,666267760.0,314
IRL,21,8,3329100.0,315
ISL,18,8,223537.0,316
ISR,22,8,3690000.0,317
ITA,23,8,56155143.0,318
JPN,24,8,114913000.0,319
LTU,27,8,3379514.0,320
LUX,28,8,362007.0,321
LVA,26,8,2497921.0,322
MAR,30,8,18679859.0,323
MEX,29,8,64123997.0,324
NLD,31,8,13941700.0,325
NOR,33,8,4058671.0,326
NZL,32,8,3121200.0,327
POL,34,8,34965600.0,328
PRT,35,8,9558250.0,329
SGP,36,8,2353600.0,330
SVK,37,8,4890125.0,331
SVN,38,8,1862548.0,332
SWE,41,8,8275599.0,333
THA,43,8,43806715.0,334
USA,46,8,222585000.0,335
ZAF,39,8,27943445.0,336
AUS,2,9,14514000.0,337
AUT,3,9,7549425.0,338
BEL,4,9,9848382.0,339
BRA,5,9,119447303.0,340
CAN,6,9,24201544.0,341
CHE,42,9,6294365.0,342
CHL,7,9,11304331.0,343
CHN,8,9,969005000.0,344
COL,9,9,25579323.0,345
DEU,15,9,78126350.0,346
DNK,11,9,5116801.0,347
ESP,40,9,37191330.0,348
EST,12,9,1468333.0,349
FIN,13,9,4764690.0,350
FRA,14,9,54753575.0,351
GBR,45,9,56246951.0,352
GRC,16,9,9548258.0,353
HUN,17,9,10704152.0,354
IDN,20,9,144693087.0,355
IND,19,9,681248383.0,356
IRL,21,9,3373750.0,357
ISL,18,9,225735.0,358
ISR,22,9,3786000.0,359
